Country,Rating,Rank,,,,
China,3068.855165,1,,,mean ,1533.755283
Russia,2986.477554,2,,,stdev,723.6671024
United States of America,2903.04667,3,,,,
Japan,2824.324619,4,,,,
Iran,2787.577727,5,,,,
Republic of Korea,2732.104302,6,,,,
Poland,2681.019122,7,,,,
Vietnam,2619.550129,8,,,,
Taiwan,2612.213981,9,,,,
Romania,2605.014591,10,,,,
Ukraine,2526.268464,11,,,,
Singapore,2437.499541,12,,,,
Canada,2434.125052,13,,,,
Croatia,2408.689161,14,,,,
Indonesia,2351.090331,15,,,,
Australia,2348.647063,16,,,,
Israel,2343.947194,17,,,,
Bulgaria,2308.867376,18,,,,
Belarus,2253.904272,19,,,,
France,2170.284659,20,,,,
Hong Kong,2141.689095,21,,,,
Hungary,2059.701585,22,,,,
Kazakhstan,2036.524784,23,,,,
India,2030.547367,24,,,,
Serbia,2001.38858,25,,,,
Slovakia,1985.253202,26,,,,
Brazil,1981.751326,27,,,,
Turkey,1937.175189,28,,,,
Germany,1869.755965,29,,,,
Bangladesh,1850.444062,30,,,,
Lithuania,1840.963327,31,,,,
Kyrgyzstan,1818.358944,32,,,,
Italy,1781.858493,33,,,,
Macedonia,1710.350806,34,,,,
Thailand,1699.645799,35,,,,
Georgia,1696.579461,36,,,,
Malaysia,1692.805964,37,,,,
United Kingdom,1687.9831,38,,,,
Slovenia,1614.684454,39,,,,
Egypt,1600.812288,40,0.092662779,,,
Finland,1563.256795,41,,,,
Switzerland,1551.03426,42,,,,
Latvia,1549.563179,43,,,,
Netherlands,1548.094316,44,,,,
Czech Republic,1523.011085,45,,,,
Armenia,1507.317989,46,,,,
Estonia,1422.932001,47,,,,
Syria,1415.22571,48,,,,
Peru,1400.621287,49,,,,
Mongolia,1360.644424,50,,,,
Sweden,1321.648666,51,,,,
Belgium,1310.359216,52,,,,
Denmark,1303.081576,53,,,,
Cuba,1299.789975,54,,,,
Cyprus,1239.521076,55,,,,
Philippines,1177.55029,56,,,,
New Zealand,1172.531009,57,,,,
Spain,1157.690924,58,,,,
Macau,1153.579715,59,,,,
Tunisia,1140.065313,60,,,,
Moldova,1096.52973,61,,,,
Norway,1060.142846,62,,,,
Saudi Arabia,1045.460111,63,,,,
Mexico,1044.803892,64,,,,
Ecuador,1034.027583,65,,,,
South Africa,1025.596181,66,,,,
Azerbaijan,1006.426751,67,,,,
Argentina,992.2631898,68,,,,
Austria,987.8661792,69,,,,
Tajikistan,957.700124,70,,,,
Bosnia and Herzegovina,929.9675607,71,,,,
Greece,907.8371838,72,,,,
Portugal,907.6368619,73,,,,
Montenegro,900.408037,74,,,,
Morocco,851.7980097,75,,,,
Palestine,786.4360067,76,,,,
Jordan,755.6410619,77,,,,
Uzbekistan,711.0608658,78,,,,
Ireland,703.4692023,79,,,,
Turkmenistan,683.8248779,80,,,,
El Salvador,660.0254075,81,,,,
Chile,605.6315666,82,,,,
Iceland,587.3301007,83,,,,
Colombia,464.4926943,84,,,,
Bolivia,459.4361645,85,,,,
Dominican Republic,383.142102,86,,,,
Luxembourg,359.9426458,87,,,,
Sri Lanka,293.902944,88,,,,
Venezuela,191.7488404,89,,,,
Nigeria,84.12721974,90,,,,
